TrialNum,BlockNum,ParticipantID,RT,Performance,MedPupil_Pat,MedPupil_Fdb,AUCPupil_Pat,AUCPupil_Fdb,MaxPupil_Pat,MaxPupil_Fdb,MeanGazeX_Pat,MeanGazeY_Pat,MeanGazeX_Fdb,MeanGazeY_Fdb
81,2,VM_15_79,1.328,1,-0.724854306992951,1.15583052593803,-487.698491665136,1177.80002700156,1.1485410498414,2.07794925216194,993.231368631368,557.893806193806,1003.86589057043,518.954714784633
82,2,VM_15_79,0.784,1,-0.0205309542680185,1.13619266619803,67.5525645195404,454.333075678866,1.59088009350195,2.05306775836621,960.072606924644,543.724643584521,1021.64774665043,521.166260657735
83,2,VM_15_79,0.917,1,0.00908435842065671,0.805728068688136,179.754174095218,660.194404675973,1.45799621981329,2.27784314494293,995.928397565923,536.648884381339,1021.34391752577,481.278762886598
84,2,VM_15_79,1.133,0,0.831901321023713,-0.0938759255409244,820.825957859928,53.7574915609714,1.35626801191914,1.5326037132822,1026.32108495394,526.121903787103,1051.40310077519,426.993488372093
85,2,VM_15_79,0.832,1,-0.455534019330893,1.08609949295662,-596.687930925937,889.243578362776,1.15846075418753,1.6121477298645,979.741762854145,557.707660020987,1030.32537931034,510.829931034483
86,2,VM_15_79,0.827,1,-0.75098931548234,1.36325369272074,-507.676803368919,952.60747137091,1.09954125525303,1.98165638487714,982.161583577713,583.87771260997,933.936631578947,591.183578947368
87,2,VM_15_79,1.462,1,-0.72829396230591,1.12110979371901,-487.492799870124,1265.84555712731,1.15056932257604,1.83359151789851,1032.71623931624,572.006517094017,992.319373219373,522.926353276353
88,2,VM_15_79,0.856,1,-0.00670478835371133,-0.22926668233028,579.52144833956,-12.6348861356413,1.93272692675575,1.93272692675575,996.747652347652,527.689210789211,1017.37144482366,525.510011376564
89,2,VM_15_79,0.885,1,-0.360812634185738,1.01705975548009,-340.986350222027,1086.88465232859,0.918512315386954,1.97924112511669,914.623858921162,557.962240663901,1009.49779492833,495.633296582139
90,2,VM_15_79,1.277,1,-0.813216053015991,1.35347899717332,-255.710561335214,976.993955962454,1.33173958195403,2.26291120051365,1088.98551448551,542.663336663337,1042.04769417476,507.52645631068
91,2,VM_15_79,0.83,1,0.693846413515466,0.334070691365998,446.210579102562,532.323997141648,1.89632742275905,1.84282547990312,952.813967611336,561.838056680162,1041.09916317992,486.691736401674
92,2,VM_15_79,0.689,1,0.746286572401269,0.758841576934823,559.242339878246,738.410818231366,1.30878988766814,1.54652795949557,958.72508073197,564.483207750269,1026.08076923077,451.192908653846
93,2,VM_15_79,0.65,1,-0.431472827275995,1.29533550724102,-49.4926659847455,867.067648728933,1.78985492192469,1.86470110360654,1080.10509490509,557.030869130869,1036.31214848144,456.837457817773
94,2,VM_15_79,1.213,0,-0.358314535024686,1.0199452658948,-410.466603598588,985.576169299364,0.291991145690845,2.52438378098297,1063.06232032854,578.809856262833,1018.38085642317,493.178085642317
95,2,VM_15_79,0.633,1,0.641013426413221,0.705649114771103,428.648173808452,581.466022826011,1.2934750213395,1.53173346892494,973.573526473527,544.301098901099,1030.22032608696,474.198152173913
96,2,VM_15_79,1.245,1,-0.202515490821676,1.1817706281791,68.0949429748051,878.733612446561,1.17858836123887,2.06962310450374,970.348851148851,548.770729270729,1047.11848101266,495.594683544304
97,2,VM_15_79,0.652,1,-0.632902862943122,0.240161819092697,-241.819361115734,638.615466938291,1.86636471585172,1.95750883100931,1001.89888211382,543.97906504065,1032.06084538376,484.171078976641
98,2,VM_15_79,0.743,1,0.211139442595662,0.641082633553366,338.76316613702,522.601679310017,1.75682477941293,1.85705693436012,946.358811475409,527.919672131147,1011.4683908046,481.846695402299
99,2,VM_15_79,0.789,1,-0.544240938244307,0.975060953285773,-134.595608471923,800.704781770809,1.5621016682338,2.18989737545707,1050.70397553517,515.887869520897,1033.41113956466,404.984507042254
100,2,VM_15_79,0.803,1,0.486588256022759,0.746676907574181,537.576148886774,776.493074391403,1.37447710097416,1.45522515310091,967.10020768432,545.085462097612,1020.97557603687,525.378341013825
101,3,VM_15_79,0.66,1,0.502233510249266,0.39503968133033,335.888151951925,206.285196521836,1.46102275780197,2.00294711511437,979.685945945946,544.475891891892,1006.67378640777,481.482108183079
102,3,VM_15_79,1.286,1,1.02593603596094,0.409627610592231,858.553799448351,173.791086887351,1.34314377345424,0.996329980461567,978.28759048604,530.598552223371,999.593394980185,507.794848084545
103,3,VM_15_79,0.67,1,0.702616263257851,0.225912946990216,547.809618969299,426.067004066114,1.65642474162036,1.2887964741748,941.945086705202,582.841329479769,1029.71479289941,465.354437869823
104,3,VM_15_79,0.646,0,0.221287023851751,0.47289236852802,228.934602586329,774.849012816404,0.748846617527798,2.67646820980566,911.150993377483,564.26710816777,1016.69687861272,488.734797687861
105,3,VM_15_79,0.633,1,0.293185154083151,0.820007729642396,336.940960578417,830.973219023934,1.11901513739224,2.0872296005822,986.245753715499,521.771868365181,1005.77850574713,436.245172413793
106,3,VM_15_79,0.82,1,-0.0523511891836258,0.912060183278026,-140.175421004463,874.690013336898,0.985508731511861,1.5953975247042,994.12046659597,566.966595970307,1038.67640156454,488.908083441982
107,3,VM_15_79,0.999,1,0.29852589495588,0.788323304374167,32.1666847021643,596.409138361353,1.09106240667793,1.45041125981899,1007.18635886674,563.671983210913,1019.84754098361,523.805044136192
108,3,VM_15_79,0.964,1,0.73153896692321,0.813017295940923,727.128018814439,341.874259858786,1.29386069045112,1.8597763778362,962.894162995595,536.250330396476,1040.3815,506.00375
109,3,VM_15_79,0.77,1,-0.199917209744485,0.973095789839702,-30.1939524453026,890.675086181428,1.32742054205932,2.37939092442562,1096.06484295846,540.342147922999,1037.23913043478,433.86580493537
110,3,VM_15_79,1.039,1,0.333167604626407,1.06983239434405,239.319807004822,915.161479082407,1.21211807374859,1.82220028634589,920.981100726895,550.264693665628,1006.06510791367,447.189388489209
111,3,VM_15_79,0.794,1,0.293627978927975,0.926050700109835,460.976525244246,628.484422747833,1.13821707773431,2.17196389637271,981.92730227519,565.523726977248,1031.36,484.021383647799
112,3,VM_15_79,0.959,1,-0.848828026297704,1.29299636106387,-732.815112419375,1215.06231879382,0.617353494843614,1.78954489092318,1003.21844559585,564.711191709844,999.179809004093,495.144474761255
